epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,545.481,1.07517,0.79863,1.34388,0.78074,0.6,0.69466,0.29217,2.19192,1.34023,2.84726,0.0011387,0.0011387,0.0011387
89,551.791,1.05359,0.76579,1.31924,0.78038,0.75,0.76981,0.34738,1.78834,1.19378,2.21972,0.0011288,0.0011288,0.0011288
90,557.524,1.04447,0.74784,1.30049,0.73964,0.63922,0.74006,0.33176,1.75405,1.15977,2.18529,0.0011189,0.0011189,0.0011189
91,563.908,1.02496,0.72844,1.27562,0.75033,0.63863,0.73401,0.30273,1.89017,1.25107,2.3275,0.001109,0.001109,0.001109
92,569.677,1.00896,0.70825,1.27854,0.85297,0.7,0.77397,0.31603,1.86399,1.08851,2.34737,0.0010991,0.0010991,0.0010991
93,576,1.01248,0.73195,1.26645,0.73055,0.8,0.7971,0.3574,1.8051,1.13135,2.33213,0.0010892,0.0010892,0.0010892
94,581.776,1.03083,0.70551,1.31719,0.86998,0.66914,0.76957,0.34303,1.75953,0.9798,2.32548,0.0010793,0.0010793,0.0010793
95,588.092,1.03242,0.70802,1.29554,0.83458,0.6125,0.7363,0.31453,1.74664,1.08909,2.28167,0.0010694,0.0010694,0.0010694
96,593.829,0.99998,0.71708,1.27504,0.77981,0.75258,0.79202,0.36422,1.64918,1.05911,2.11515,0.0010595,0.0010595,0.0010595
97,600.131,1.03708,0.75197,1.30459,0.88019,0.7,0.7863,0.37204,1.73748,1.0963,2.18918,0.0010496,0.0010496,0.0010496
98,605.886,1.01981,0.71346,1.26878,0.7981,0.7,0.75354,0.35148,1.71975,1.00799,2.13246,0.0010397,0.0010397,0.0010397
99,612.282,1.02433,0.72516,1.29555,0.81902,0.7375,0.79416,0.37056,1.71706,0.94898,2.10258,0.0010298,0.0010298,0.0010298
100,618.034,1.03709,0.74662,1.30236,0.82462,0.7125,0.75704,0.36126,1.73461,0.99766,2.1939,0.0010199,0.0010199,0.0010199
101,624.363,0.96329,0.68334,1.23946,0.79899,0.74533,0.76963,0.34407,1.77345,1.00844,2.37891,0.00101,0.00101,0.00101
102,630.142,1.0093,0.7224,1.30165,0.7747,0.7625,0.78023,0.34753,1.77647,1.002,2.34682,0.0010001,0.0010001,0.0010001
103,636.492,0.95937,0.6883,1.25815,0.84517,0.725,0.81318,0.35511,1.73627,0.95426,2.30351,0.0009902,0.0009902,0.0009902
104,642.396,0.9558,0.68171,1.27438,0.79626,0.65,0.74137,0.33253,1.7946,1.16237,2.33268,0.0009803,0.0009803,0.0009803
105,648.791,0.98558,0.69889,1.25819,0.83125,0.6625,0.75499,0.35007,1.78205,1.4132,2.34984,0.0009704,0.0009704,0.0009704
106,654.588,0.95719,0.69443,1.26246,0.71235,0.7125,0.72609,0.34336,1.9398,1.25526,2.51838,0.0009605,0.0009605,0.0009605
107,660.889,0.98093,0.73188,1.29493,0.81857,0.67678,0.80388,0.35379,2.12049,1.37592,2.61554,0.0009506,0.0009506,0.0009506
108,666.705,0.95968,0.67315,1.23436,0.84237,0.7,0.76768,0.35676,1.83436,1.16048,2.38853,0.0009407,0.0009407,0.0009407
109,673.137,0.96301,0.68281,1.27205,0.84897,0.63246,0.73616,0.33824,1.84473,1.27174,2.33258,0.0009308,0.0009308,0.0009308
110,678.892,0.94549,0.65642,1.23913,0.8689,0.75,0.8288,0.33947,1.92912,0.99538,2.36139,0.0009209,0.0009209,0.0009209
111,685.223,0.92947,0.6441,1.22705,0.90079,0.6375,0.7719,0.34004,1.96116,1.02324,2.38989,0.000911,0.000911,0.000911
112,690.99,0.88431,0.6459,1.21782,0.68243,0.75214,0.75269,0.31684,1.91462,1.08185,2.47952,0.0009011,0.0009011,0.0009011
113,697.464,0.88371,0.62579,1.21508,0.78142,0.715,0.78237,0.35452,1.64988,0.95399,2.23794,0.0008912,0.0008912,0.0008912
114,703.189,0.8829,0.58735,1.20938,0.81988,0.7125,0.79425,0.37101,1.60486,1.02365,2.14005,0.0008813,0.0008813,0.0008813
115,709.56,0.9322,0.62451,1.2205,0.81188,0.6625,0.74141,0.35486,1.75095,1.02546,2.23718,0.0008714,0.0008714,0.0008714
116,715.3,0.92693,0.64622,1.24659,0.8338,0.725,0.79733,0.34369,1.87241,0.94288,2.34455,0.0008615,0.0008615,0.0008615
117,721.65,0.88236,0.64359,1.20515,0.83084,0.7125,0.79349,0.37654,1.67274,1.07567,2.17048,0.0008516,0.0008516,0.0008516
118,727.416,0.8797,0.62197,1.20511,0.72607,0.76204,0.79752,0.36764,1.56746,1.04868,2.07378,0.0008417,0.0008417,0.0008417
119,733.79,0.87073,0.61835,1.17894,0.78222,0.6875,0.77303,0.35968,1.6414,1.29577,2.1078,0.0008318,0.0008318,0.0008318
120,739.549,0.86459,0.63868,1.16353,0.89449,0.6375,0.74871,0.34172,1.73916,1.28772,2.31538,0.0008219,0.0008219,0.0008219
121,745.874,0.85009,0.65037,1.19883,0.7849,0.72985,0.78655,0.34656,1.78402,1.06996,2.37951,0.000812,0.000812,0.000812
122,751.675,0.86789,0.62864,1.21009,0.8723,0.725,0.81736,0.36889,1.73542,0.96154,2.26686,0.0008021,0.0008021,0.0008021
123,758.022,0.82607,0.58975,1.18986,0.88568,0.6779,0.78802,0.3703,1.67777,0.95339,2.20767,0.0007922,0.0007922,0.0007922
124,763.773,0.88512,0.64212,1.21449,0.89431,0.74039,0.82178,0.3705,1.75885,1.09542,2.32712,0.0007823,0.0007823,0.0007823
125,770.12,0.84401,0.58381,1.18045,0.79033,0.7375,0.78567,0.36405,1.61644,1.18452,2.18323,0.0007724,0.0007724,0.0007724
126,775.947,0.77207,0.57054,1.14585,0.85444,0.6375,0.74776,0.35163,1.81804,1.13472,2.31462,0.0007625,0.0007625,0.0007625
127,782.248,0.85548,0.63829,1.22016,0.75564,0.725,0.74347,0.35319,1.94377,1.13462,2.42966,0.0007526,0.0007526,0.0007526
128,788.015,0.85422,0.59054,1.19077,0.90156,0.7125,0.81589,0.37637,1.79962,0.97471,2.32138,0.0007427,0.0007427,0.0007427
129,794.33,0.80079,0.56165,1.14879,0.82323,0.725,0.80276,0.36789,1.69315,1.10598,2.24443,0.0007328,0.0007328,0.0007328
130,800.076,0.82407,0.5654,1.1673,0.80338,0.75,0.79952,0.37146,1.73833,1.03558,2.30406,0.0007229,0.0007229,0.0007229
131,806.437,0.83463,0.58514,1.182,0.84165,0.6644,0.79751,0.38041,1.77492,1.03153,2.35853,0.000713,0.000713,0.000713
132,812.219,0.7991,0.5803,1.13134,0.8377,0.64525,0.75351,0.33333,2.01541,1.24878,2.56094,0.0007031,0.0007031,0.0007031
133,818.53,0.8166,0.56073,1.14519,0.91035,0.6375,0.77563,0.35398,1.80925,1.13574,2.39496,0.0006932,0.0006932,0.0006932
134,824.266,0.80064,0.58046,1.15592,0.83719,0.7125,0.79774,0.3806,1.70454,1.09121,2.2876,0.0006833,0.0006833,0.0006833
135,830.544,0.76297,0.53351,1.1195,0.73219,0.78603,0.79213,0.38792,1.63613,1.09965,2.21358,0.0006734,0.0006734,0.0006734
136,836.329,0.7757,0.56005,1.13638,0.79428,0.725,0.80316,0.36066,1.72399,1.28135,2.30646,0.0006635,0.0006635,0.0006635
137,842.926,0.79987,0.55291,1.14975,0.86867,0.6875,0.80867,0.37785,1.75366,1.05169,2.34962,0.0006536,0.0006536,0.0006536
138,848.668,0.75714,0.55268,1.12816,0.81879,0.73426,0.80354,0.3746,1.82204,1.02897,2.50327,0.0006437,0.0006437,0.0006437
139,854.989,0.80612,0.574,1.16774,0.76523,0.73341,0.78931,0.35937,1.90777,1.04911,2.50811,0.0006338,0.0006338,0.0006338
140,860.768,0.78859,0.55465,1.14252,0.68038,0.74508,0.74716,0.33511,1.85548,1.11932,2.35904,0.0006239,0.0006239,0.0006239
141,867.107,0.77348,0.55204,1.13948,0.69369,0.8125,0.79553,0.38018,1.76663,0.99677,2.2889,0.000614,0.000614,0.000614
142,872.88,0.80197,0.60559,1.17417,0.75204,0.775,0.7947,0.38179,1.64824,1.18488,2.23656,0.0006041,0.0006041,0.0006041
143,879.191,0.82014,0.58793,1.17438,0.81666,0.6625,0.72385,0.32853,1.84709,1.32864,2.50058,0.0005942,0.0005942,0.0005942
144,884.937,0.80945,0.58084,1.16138,0.74281,0.775,0.79722,0.3535,1.71121,1.12883,2.42245,0.0005843,0.0005843,0.0005843
145,891.298,0.80226,0.5585,1.13257,0.76158,0.725,0.76283,0.35316,1.73035,1.12844,2.42993,0.0005744,0.0005744,0.0005744
146,897.083,0.79174,0.55495,1.14712,0.85024,0.7097,0.79434,0.34086,1.86306,1.15379,2.50283,0.0005645,0.0005645,0.0005645
147,903.485,0.78407,0.52153,1.12971,0.84092,0.7,0.82187,0.35752,1.9214,1.10932,2.53564,0.0005546,0.0005546,0.0005546
148,909.204,0.79541,0.56469,1.14257,0.86218,0.7125,0.81484,0.37658,1.78931,0.9823,2.34785,0.0005447,0.0005447,0.0005447
149,915.458,0.7537,0.53582,1.13281,0.84181,0.73175,0.80349,0.36455,1.81117,0.97812,2.42608,0.0005348,0.0005348,0.0005348
150,921.176,0.68684,0.49493,1.08524,0.8165,0.7375,0.81203,0.38776,1.83585,1.08002,2.47868,0.0005249,0.0005249,0.0005249
151,927.628,0.72492,0.55038,1.11263,0.8209,0.725,0.82576,0.38895,1.85922,1.07575,2.52163,0.000515,0.000515,0.000515
152,933.411,0.69921,0.49955,1.10561,0.7871,0.73943,0.81061,0.37997,1.86678,0.97029,2.48084,0.0005051,0.0005051,0.0005051
153,939.756,0.73127,0.5265,1.09685,0.87649,0.65,0.78147,0.36382,1.92159,0.9591,2.56344,0.0004952,0.0004952,0.0004952
154,945.496,0.68355,0.5113,1.08691,0.83269,0.7125,0.77988,0.35832,1.94366,1.11616,2.60311,0.0004853,0.0004853,0.0004853
155,951.865,0.73724,0.52681,1.10618,0.8071,0.73223,0.78933,0.37219,1.90416,1.20937,2.54017,0.0004754,0.0004754,0.0004754
156,957.564,0.67927,0.48428,1.09543,0.90413,0.65,0.75076,0.34905,1.90456,1.35454,2.61061,0.0004655,0.0004655,0.0004655
